source target similarity
E2F1 MCM10 0.624228044832
STAT3 EGR3 0.00758852414272
MAFG SREBF2 0.00426836373117
SOX4 EGR1 0.00399632662147
FGF2 E2F3 0.00440387586914
ZNF148 TBX5 0.0365205335766
CEBPB SPI1 0.00494886556687
SREBF2 PCYT1A 0.13505341783
MAZ NFIX 0.00509486718913
SOX12 POU2F1 0.00581360891338
NRF1 PATZ1 0.00364869982452
VDR FOXO1 0.00317611954704
HIF1A FOXJ1 0.0176660641079
HAND2 STAT3 0.00270821666446
MAFG EGR1 0.00493439564105
EBF3 IRF1 0.00405136106807
RUNX1 SMAD1 0.00498966316646
E2F1 ETV4 0.0151609164562
TJP1 CTNNB1 0.0015708937823
CIZ1 ELF1 0.00477915532075
LMO2 HOXB3 0.0197253140583
BACH1 NFE2L2 0.00263192155925
NFIX EBF1 0.00428303361722
ESRRA MEIS2 0.00902433324839
JUNB HSF2 0.00612027488513
ELF1 GTF2IRD1 0.00489550335168
IRF5 GLI3 0.00784859572855
IRX5 EGR1 0.00438697460047
EGR1 CREM 0.00922724106684
ZNF354C SP1 0.000639429127009
CTNNB1 TNFRSF11B 0.365355935198
EGR2 HSF2 0.00741218697734
RELA PATZ1 0.00473399382711
IKZF1 THRB 0.00893868450972
SOX11 THRB 0.00753502596075
HSF1 FOXO1 0.00235322806605
MAZ ZNF384 0.0035382825122
E4F1 SRF 0.00277625700644
EGR3 HBP1 0.00426687480695
BCL2L1 STAT5A 0.00358241156261
SOX9 EBF1 0.0040265855228
CEBPB LTF 0.233595122679
STAT3 EGR2 0.00802953951082
NR3C1 TFAP4 0.00652508021314
EBF3 CUX1 0.00364314659676
ETV6 RELB 0.00422644523917
SPI1 TFAP4 0.00788471384186
JUNB SMAD7 0.00619661138417
MAZ SOX11 0.0192112903688
PATZ1 POU3F3 0.00857394027192
SOX15 SP1 0.000938157700745
EGR1 NFE2L3 0.0125470754128
POU3F3 ZNF589 0.00633327662614
SMAD7 E2F3 0.00640988161913
MAZ ZNF148 0.00279492518739
SCD FOXO1 0.00164769756142
MAFB SREBF2 0.00358668203877
CREB1 TFRC 0.303532786233
E2F1 ARNTL 0.0236929398518
PTX3 CTNNB1 0.00158308181109
STAT1 LONP1 0.175766832425
ZNF384 SATB1 0.0209303390912
STAT2 HINFP 0.00593196204889
RUNX1 ASCL1 0.0129060573983
DLX5 SMAD5 0.00440646369011
PATZ1 SMAD5 0.00515630647148
DDIT3 NFE2L2 0.00248372694355
PRDM1 FOS 0.00709557310363
ARNTL2 EGR2 0.00461931676201
CDKN2D STAT3 0.0016722176785
LMO2 CUX1 0.00354264095113
RFX2 PATZ1 0.00319996583538
TRIM28 E2F2 0.0236987600752
GLI3 MXD3 0.00756716153256
GTF2IRD1 NFIB 0.00456039226195
FOS HNF4G 0.0244697825832
NFYA EGR3 0.00680070187527
SEMA3C CTNNB1 0.0015708937823
DEAF1 DLX1 0.0232919482004
GALNT1 CREB1 0.000840557350223
STAT5A THRB 0.00860365848511
EGR1 STAT1 0.00576037299483
SMAD7 TCF3 0.00370155066267
MYCN SMAD7 0.00550262914308
HINFP MXD3 0.00591233633335
MCM8 E2F1 0.00413879263622
POU4F1 SPI1 0.00348472703253
TCF3 STAT3 0.00406943103387
POU2F1 VDR 0.00747735604576
MYCN PRDM1 0.00498551377581
DDIT3 MXD3 0.00660134187434
IKZF1 EGR3 0.00704679262054
E2F3 NFYA 0.0025387204212
CREB1 IRF1 0.00443966663399
CTNNB1 DYNC1I1 1.74266999242
LMO2 IRF1 0.00401183959374
VDR ZNF238 0.00971127145569
DDIT3 THRB 0.00792192609447
HNF4G CREB1 0.00105131963807
TCF3 CEBPD 0.0129651655861
POU3F3 NFYC 0.00272573091386
NFIX ZNF143 0.00152274267362
STAT3 GATA2 0.00731549894892
NFE2L3 DEAF1 0.00306825939387
EGR2 HMX1 0.0830313782339
POU3F3 CUX1 0.00359442956901
FOS NFE2L2 0.00313995475794
CIZ1 TCF3 0.00252175526993
SREBF2 NFYC 0.00364156377744
ELK3 STAT5A 0.00455961103959
SP1 F13A1 0.832020734262
NFYA GTF2IRD1 0.00525784896851
SOX8 TRIM28 0.00159809456012
FOS STAT5A 0.00623558319918
PATZ1 MYCN 0.0174346641288
ZNF148 PAX3 0.0302411323063
CREM FOS 0.00587458489924
SP1 SREBF2 0.0104099042813
ZNF143 IRF2 0.0037845961623
ZNF148 TFAP4 0.00856524856157
SOX10 SP1 0.000720438482369
RARA RUNX1 0.0106460713265
GTF2IRD1 EGR1 0.0047996324907
TRIM28 REST 0.00676063467133
SEL1L ATF6 0.00351841431627
MYBL2 VDR 0.00562134477724
ASCL1 HIF1A 0.00371067387618
HIF1A RUNX1 0.0111202014807
HINFP IRF2 0.00287586009852
STAT3 ETV6 0.00511897552374
IKZF1 ZNF350 0.00494498355779
CREB1 MAFB 0.010911327944
SMAD7 ZNF238 0.00849722888108
SMAD1 EGR3 0.00529254085942
ZNF238 STAT2 0.00485136984499
HBP1 SOX11 0.0147719754692
S100A10 RBPJ 0.00197035045138
EBF1 LMO2 0.00665899171538
MT2A SP1 0.000573544349072
TERF1 ATF1 0.00239518341131
TCF3 POU3F3 0.00871817881373
CTNNB1 FSCN1 0.628276340353
DLX1 ZNF263 0.00186580783694
CEBPB JUNB 0.00582416057197
ITGAV SP1 0.000566627661935
SOX11 TCF3 0.00305298401807
ZNF148 IKZF1 0.00926527558692
SOX11 CIZ1 0.00775490311791
CDK1 SMAD7 0.00403677734237
DDIT3 PATZ1 0.00402761607734
ONECUT2 EGR1 0.00365907867335
SOX4 LMO2 0.00561778640057
RFC1 SP1 0.000566686454955
CEBPB STAT5A 0.00598489085082
SP1 CPOX 0.207818228731
TRIM28 EGR1 0.00750883562697
SPI1 SREBF2 0.00552612964889
REST EGR2 0.00827611095772
MAZ E2F2 0.0248846187051
ASCL1 MAZ 0.00342579834114
EGR3 BACH1 0.00641234187604
DEAF1 E2F3 0.00688551939911
MAZ SPI1 0.00656144734863
GLI3 ATF1 0.00338512689939
E2F2 STAT3 0.00254928019227
HNF4G SOX9 0.00601365686152
STAT3 POU3F3 0.00799016524659
